"インデックス","107 時間 (s)","107 電圧 (V)","102 温度 (°C)","103 温度 (°C)","105 抵抗 (Ω)"
"1","0","-0.0299697369","342.469452","119.635292","30.0776463"
"2","9.998987","-0.0299637578","342.435852","119.629318","30.0919819"
"3","19.998978","-0.029955728","342.4534","119.711342","30.0637455"
"4","29.998987","-0.0299622379","342.471252","119.777016","30.0635662"
"5","39.998983","-0.0299439356","342.44928","119.824562","30.052"
"6","49.998986","-0.0299431402","342.445404","119.917809","30.0494099"
"7","59.998992","-0.0299391784","342.521576","120.003487","30.0475674"
"8","69.998998","-0.0299369786","342.475189","119.972473","30.0449886"
"9","79.998984","-0.0299362876","342.527344","120.099297","30.0449581"
"10","89.998982","-0.0299300961","342.60141","120.06852","30.0382023"
"11","99.998986","-0.0299240947","342.528564","120.193489","30.0317764"
"12","109.998989","-0.0299137197","342.566498","120.387276","30.0204601"
"13","119.998991","-0.0299068764","342.512817","120.535942","30.0158424"
"14","129.998983","-0.0298997145","342.565125","120.621857","30.0079136"
"15","139.998988","-0.0298970342","342.650635","120.664261","30.0041161"
"16","149.998989","-0.0298974328","342.667084","120.676041","30.0050888"
"17","159.998992","-0.0299007874","342.782776","120.734238","30.0098057"
"18","169.998988","-0.029901864","342.735504","120.668213","30.0089378"
"19","179.998996","-0.0298991129","342.82782","120.875214","30.0063496"
"20","189.998982","-0.0298913829","342.845734","120.910347","29.9982967"
"21","199.99899","-0.0298825614","342.873077","120.97419","29.990963"
"22","209.998982","-0.0298758931","342.814575","121.047165","29.982708"
"23","219.998985","-0.0298768319","342.844116","121.11692","29.9860268"
"24","229.998989","-0.0298802666","342.862335","121.110451","29.9885693"
"25","239.998986","-0.0298761409","342.832397","121.142403","29.9838848"
"26","249.998992","-0.0298696458","342.894135","121.259247","29.9766445"
"27","259.999987","-0.0298639201","342.848602","121.346359","29.9719582"
"28","269.998987","-0.0298611503","342.851288","121.320969","29.9706554"
"29","279.998981","-0.0298573412","342.975464","121.475327","29.9663696"
"30","289.998992","-0.0298492946","343.056824","121.589027","29.9552612"
"31","299.998988","-0.0298476592","343.086945","121.738831","29.9548416"
"32","309.99899","-0.0298455358","343.105988","121.650185","29.9535236"
"33","319.998981","-0.0298433006","343.09845","121.660866","29.9504528"
"34","329.999994","-0.0298431441","343.205292","121.628944","29.9512215"
"35","339.998995","-0.0298433825","343.153442","121.629272","29.9502869"
"36","349.998987","-0.0298420284","343.16629","121.682808","29.9490242"
"37","359.998991","-0.0298417434","343.135162","121.816116","29.9489136"
"38","369.998987","-0.02983924","343.132202","121.840302","29.9471588"
"39","379.998991","-0.029839294","343.173096","121.895355","29.9473038"
"40","389.998984","-0.0298356656","343.216248","121.920113","29.9446049"
"41","399.998993","-0.0298357476","343.249573","122.048943","29.9425392"
"42","409.998987","-0.0298346207","343.294434","122.061737","29.9423771"
"43","419.99998","-0.0298310015","343.279846","122.141411","29.9378605"
"44","429.999008","-0.0298307054","343.226501","122.179726","29.938921"
"45","439.998985","-0.029830711","343.280457","122.229561","29.9383011"
"46","449.998984","-0.029826723","343.251434","122.20916","29.9338818"
"47","459.998991","-0.0298224986","343.23938","122.256165","29.9305706"
"48","469.999","-0.0298197381","343.211823","122.202293","29.9263344"
"49","479.99999","-0.0298183467","343.289581","122.270546","29.9246616"
"50","489.998983","-0.0298152063","343.278748","122.318604","29.9239426"
"51","499.998981","-0.0298152138","343.313171","122.426559","29.921917"
"52","509.99899","-0.0298141893","343.34845","122.489822","29.9220619"
"53","519.998994","-0.0298154242","343.348999","122.521408","29.922245"
"54","529.998996","-0.0298139043","343.400085","122.542068","29.9214458"
"55","539.998995","-0.0298100542","343.438293","122.586128","29.9178162"
"56","549.999987","-0.0298057199","343.383942","122.557953","29.9109783"
"57","559.998989","-0.0297997147","343.319122","122.595337","29.9071674"
"58","569.999","-0.0297978744","343.302643","122.611259","29.9052563"
"59","579.998994","-0.0297928788","343.381439","122.680031","29.9010429"
"60","589.99899","-0.0297850091","343.31488","122.772385","29.8924294"
"61","599.998997","-0.029780101","343.286285","122.778648","29.8874416"
"62","609.999006","-0.0297824126","343.407684","122.838722","29.8893089"
"63","619.998989","-0.0297833029","343.357635","122.818398","29.8920059"
"64","629.998979","-0.0297817662","343.38562","122.949745","29.8886871"
"65","639.998999","-0.0297767036","343.456177","122.9552","29.8843212"
"66","649.998983","-0.0297746807","343.450256","123.033073","29.882925"
"67","659.99899","-0.0297729541","343.449646","123.024666","29.8802624"
"68","669.998986","-0.0297719222","343.444824","122.995888","29.8795471"
"69","679.998985","-0.0297715813","343.453125","123.109787","29.8785686"
"70","689.999997","-0.0297707077","343.438324","123.08828","29.8783703"
"71","699.998993","-0.0297647137","343.460266","123.135277","29.8718395"
"72","709.998984","-0.0297629926","343.473541","123.160713","29.8701286"
"73","719.999992","-0.029761048","343.518341","123.297989","29.8687477"
"74","729.998989","-0.0297591127","343.50116","123.209969","29.866066"
"75","739.999002","-0.0297557879","343.548065","123.243835","29.8644524"
"76","749.99899","-0.0297562238","343.505829","123.216064","29.865757"
"77","759.998993","-0.0297566857","343.57254","123.299362","29.8635941"
"78","769.998994","-0.0297563188","343.49411","123.296921","29.8628063"
"79","779.999","-0.0297560394","343.527649","123.364517","29.8626461"
"80","789.998988","-0.0297563821","343.450439","123.277374","29.8649998"
"81","799.998991","-0.0297569316","343.524109","123.322838","29.865757"
"82","809.998986","-0.0297547486","343.538025","123.296913","29.8612461"
"83","819.998986","-0.0297508668","343.514679","123.322113","29.8581734"
"84","829.998988","-0.0297266394","343.456787","123.394524","29.8283176"
"85","839.999","-0.0296711084","343.104187","123.406456","29.7696857"
"86","849.998989","-0.0295862556","342.716003","123.457756","29.685091"
"87","859.99899","-0.0294844359","342.100525","123.519684","29.5769272"
"88","869.998986","-0.0293556992","341.316467","123.44297","29.446188"
"89","879.999002","-0.0292118527","340.509033","123.407028","29.3046551"
"90","889.998983","-0.0290627033","339.640503","123.288689","29.153286"
"91","899.998996","-0.0289091934","338.777863","123.212639","28.9998913"
"92","909.999013","-0.0287527367","337.864288","123.082672","28.842989"
"93","919.998989","-0.028595496","337.022064","123.088165","28.6856728"
"94","929.998998","-0.0284377132","336.022675","123.088112","28.5290241"
"95","939.999","-0.0282824431","335.118256","123.01368","28.3742943"
"96","949.998997","-0.0281280689","334.213135","122.83371","28.2182579"
"97","959.998999","-0.0279783178","333.266357","122.732674","28.0690441"
"98","969.999004","-0.0278264508","332.27951","122.582222","27.9163761"
"99","979.998998","-0.0276766289","331.421478","122.43718","27.7672367"
"100","989.999003","-0.0275284257","330.55481","122.347687","27.6200237"
"101","999.999006","-0.0273834653","329.769623","122.259026","27.4748383"
"102","1009.999008","-0.027239427","328.804321","122.210892","27.3304939"
"103","1019.998996","-0.027097214","327.922516","122.010895","27.1891804"
"104","1030.000005","-0.0269534197","327.099213","121.878754","27.0448551"
"105","1039.998978","-0.0268166363","326.308655","121.778305","26.9081707"
"106","1049.998987","-0.0266802367","325.431244","121.577713","26.7717991"
"107","1059.998989","-0.0265446361","324.659912","121.523064","26.6376095"
"108","1069.998988","-0.0264117699","323.800201","121.34153","26.5049934"
"109","1079.998986","-0.0262800157","322.957092","121.163651","26.3733368"
"110","1089.998987","-0.0261513293","322.191559","121.034927","26.2438049"
"111","1099.99899","-0.0260214247","321.394196","120.987335","26.1147995"
"112","1109.998999","-0.0258936491","320.631409","120.821404","25.9875183"
"113","1119.998993","-0.0257656202","319.85611","120.702454","25.8593807"
"114","1129.998992","-0.0256364811","319.011536","120.554756","25.7307949"
"115","1139.998995","-0.0255108103","318.187225","120.461861","25.6036053"
"116","1149.998994","-0.0253858492","317.455139","120.311752","25.4796352"
"117","1159.998997","-0.0252598654","316.619507","120.20121","25.3528652"
"118","1169.99906","-0.0251340028","315.816711","119.941597","25.2263279"
"119","1179.998992","-0.0250120927","315.103821","119.817253","25.1054211"
"120","1189.999001","-0.0248915125","314.352081","119.631874","24.9845715"
"121","1199.999998","-0.0247738734","313.643799","119.536163","24.8677692"
"122","1209.999999","-0.0246548206","312.774261","119.39595","24.7495937"
"123","1219.999991","-0.0245371498","312.035065","119.23983","24.6307621"
"124","1229.998997","-0.0244179945","311.286926","119.04834","24.5117512"
"125","1239.998999","-0.0242993906","310.520294","118.900826","24.3926716"
"126","1249.99901","-0.0241882466","309.768646","118.700829","24.2815037"
"127","1259.999011","-0.024072811","309.002289","118.562187","24.1663418"
"128","1269.999005","-0.0239577945","308.22818","118.410843","24.0532227"
"129","1279.999004","-0.0238488279","307.563965","118.346802","23.9427891"
"130","1290.000008","-0.0237381943","306.90979","118.202522","23.8321342"
"131","1299.998997","-0.0236225966","306.183868","118.031235","23.7163486"
"132","1309.999003","-0.0235082284","305.366058","117.823212","23.6014862"
"133","1319.999016","-0.0233981758","304.609283","117.743134","23.4928684"
"134","1329.999","-0.0232870821","303.94458","117.553238","23.381567"
"135","1339.99999","-0.0231758803","303.226501","117.385361","23.2701054"
"136","1349.998981","-0.023066666","302.524078","117.179955","23.1622849"
"137","1359.998992","-0.0229639933","301.775848","117.115997","23.0597134"
"138","1369.998988","-0.0228581484","301.098572","116.854622","22.9529686"
"139","1379.999985","-0.0227475557","300.39743","116.691628","22.8420219"
"140","1389.998996","-0.0226417221","299.671539","116.482834","22.737114"
"141","1399.999987","-0.0225353818","299.019897","116.395462","22.6298714"
"142","1409.998994","-0.0224284958","298.290161","116.266869","22.52351"
"143","1419.999001","-0.022320617","297.58139","116.064728","22.4161682"
"144","1429.998993","-0.0222172961","296.923615","115.933029","22.3133411"
"145","1439.998999","-0.0221140292","296.18866","115.783783","22.2080517"
"146","1449.999032","-0.0220071506","295.459564","115.56736","22.1014004"
"147","1459.99901","-0.0219052788","294.813904","115.357132","22.001545"
"148","1469.998994","-0.0218065102","294.114655","115.203659","21.9017544"
"149","1479.998998","-0.0217036381","293.43869","115.066429","21.7973595"
"150","1489.998999","-0.0216021221","292.797089","114.935081","21.6995564"
